Average connectivity;Average absolute cost;Median absolute Cost;Average relative cost;Median relative cost;Percentage Hamiltonian
0.083333333;1;1;0.041666667;0.041666667;0
0.166666667;1;1;0.041666667;0.041666667;0
0.25;1;1;0.041666667;0.041666667;0
0.333333333;1;1;0.041666667;0.041666667;0
0.416666667;1;1;0.041666667;0.041666667;0
0.5;1;1;0.041666667;0.041666667;0
0.583333333;1;1;0.041666667;0.041666667;0
0.666666667;1;1;0.041666667;0.041666667;0
0.75;1;1;0.041666667;0.041666667;0
0.833333333;1;1;0.041666667;0.041666667;0
0.916666667;1;1;0.041666667;0.041666667;0
1;1;1;0.041666667;0.041666667;0
1.083333333;1;1;0.041666667;0.041666667;0
1.166666667;1;1;0.041666667;0.041666667;0
1.25;1;1;0.041666667;0.041666667;0
1.333333333;1;1;0.041666667;0.041666667;0
1.416666667;1;1;0.041666667;0.041666667;0
1.5;1;1;0.041666667;0.041666667;0
1.583333333;1;1;0.041666667;0.041666667;0
1.666666667;1;1;0.041666667;0.041666667;0
1.75;1;1;0.041666667;0.041666667;0
1.833333333;1;1;0.041666667;0.041666667;0
1.916666667;1.1;1;0.045833333;0.041666667;0
2;1;1;0.041666667;0.041666667;0
2.083333333;10.6;1;0.441666667;0.041666667;0
2.166666667;1.05;1;0.04375;0.041666667;0
2.25;19.2;1;0.8;0.041666667;0
2.333333333;43.05;1;1.79375;0.041666667;0
2.416666667;71.55;1;2.98125;0.041666667;0
2.5;81.85;1;3.410416667;0.041666667;0
2.583333333;415.25;1;17.30208333;0.041666667;0
2.666666667;420.8;1;17.53333333;0.041666667;0
2.75;510.6;1;21.275;0.041666667;0
2.833333333;1820.35;1;75.84791667;0.041666667;0
2.916666667;2934.9;1;122.2875;0.041666667;0
3;5317.1;1;221.5458333;0.041666667;0
3.083333333;7287.25;1;303.6354167;0.041666667;0
3.166666667;13466.1;2;561.0875;0.083333333;0
3.25;20981.2;14116;874.2166667;588.1666667;0
3.333333333;48950.3;45120.5;2039.595833;1880.020833;0
3.416666667;75510.2;87666.5;3146.258333;3652.770833;0
3.5;103405.7;111957;4308.570833;4664.875;0
3.583333333;197290.65;187351;8220.44375;7806.291667;0.1
3.666666667;267997.2;264095.5;11166.55;11003.97917;0
3.75;407447.35;460655;16976.97292;19193.95833;0
3.833333333;422247.85;460547.5;17593.66042;19189.47917;0.1
3.916666667;771808.1;907075.5;32158.67083;37794.8125;0.05
4;1310416.95;1222173.5;54600.70625;50923.89583;0.05
4.083333333;1010688.9;120174.5;42112.0375;5007.270833;0.3
4.166666667;2688517.7;3259908.5;112021.5708;135829.5208;0.25
4.25;3249661.95;3488192;135402.5813;145341.3333;0.15
4.333333333;4583186.65;3729013;190966.1104;155375.5417;0.25
4.416666667;4822567.05;822819;200940.2938;34284.125;0.45
