Average connectivity;Average absolute cost;Median absolute Cost;Average relative cost;Median relative cost;Percentage Hamiltonian
12.750000;25.2;24;1.05;1;1
12.833333;24.95;24;1.039583333;1;1
12.916667;25.2;24;1.05;1;1
13.000000;24.3;24;1.0125;1;1
13.083333;25.4;24;1.058333333;1;1
13.166667;24.55;24;1.022916667;1;1
13.250000;24.75;24;1.03125;1;1
13.333333;24.85;24;1.035416667;1;1
13.416667;24.6;24;1.025;1;1
13.500000;25.1;24;1.045833333;1;1
13.583333;24.2;24;1.008333333;1;1
13.666667;25.3;24;1.054166667;1;1
13.750000;24.2;24;1.008333333;1;1
13.833333;24.8;24;1.033333333;1;1
13.916667;25.55;24;1.064583333;1;1
14.000000;24.4;24;1.016666667;1;1
14.083333;25.1;24;1.045833333;1;1
14.166667;24.1;24;1.004166667;1;1
14.250000;24.3;24;1.0125;1;1
14.333333;24.5;24;1.020833333;1;1
14.416667;24.45;24;1.01875;1;1
14.500000;24.4;24;1.016666667;1;1
14.583333;24.4;24;1.016666667;1;1
14.666667;24.4;24;1.016666667;1;1
14.750000;24.5;24;1.020833333;1;1
14.833333;24.45;24;1.01875;1;1
14.916667;24.4;24;1.016666667;1;1
15.000000;24.5;24;1.020833333;1;1
15.083333;24.4;24;1.016666667;1;1
15.166667;24.5;24;1.020833333;1;1
15.250000;24.35;24;1.014583333;1;1
15.333333;24.4;24;1.016666667;1;1
15.416667;24.2;24;1.008333333;1;1
15.500000;24;24;1;1;1
15.583333;24.2;24;1.008333333;1;1
15.666667;24.55;24;1.022916667;1;1
15.750000;24;24;1;1;1
15.833333;24.25;24;1.010416667;1;1
15.916667;25.05;24;1.04375;1;1
16.000000;24.3;24;1.0125;1;1
16.083333;24.4;24;1.016666667;1;1
16.166667;24.65;24;1.027083333;1;1
16.250000;24.6;24;1.025;1;1
16.333333;24.2;24;1.008333333;1;1
16.416667;24.6;24;1.025;1;1
16.500000;24.1;24;1.004166667;1;1
16.583333;24;24;1;1;1
16.666667;24.25;24;1.010416667;1;1
16.750000;24.1;24;1.004166667;1;1
16.833333;24.25;24;1.010416667;1;1
16.916667;24.1;24;1.004166667;1;1
17.000000;24.2;24;1.008333333;1;1
17.083333;24.2;24;1.008333333;1;1
17.166667;24.4;24;1.016666667;1;1
17.250000;24.2;24;1.008333333;1;1
17.333333;24.4;24;1.016666667;1;1
17.416667;24.4;24;1.016666667;1;1
17.500000;24.1;24;1.004166667;1;1
17.583333;24;24;1;1;1
17.666667;24.2;24;1.008333333;1;1
17.750000;24.2;24;1.008333333;1;1
17.833333;24.2;24;1.008333333;1;1
17.916667;24;24;1;1;1
18.000000;24.3;24;1.0125;1;1
18.083333;24.1;24;1.004166667;1;1
18.166667;24.4;24;1.016666667;1;1
18.250000;24.1;24;1.004166667;1;1
18.333333;24;24;1;1;1
18.416667;24.4;24;1.016666667;1;1
18.500000;24;24;1;1;1
18.583333;24.3;24;1.0125;1;1
18.666667;24.1;24;1.004166667;1;1
18.750000;24.1;24;1.004166667;1;1
18.833333;24.1;24;1.004166667;1;1
18.916667;24.25;24;1.010416667;1;1
19.000000;24;24;1;1;1
19.083333;24.1;24;1.004166667;1;1
19.166667;24.2;24;1.008333333;1;1
19.250000;24;24;1;1;1
19.333333;24;24;1;1;1
19.416667;24;24;1;1;1
19.500000;24.1;24;1.004166667;1;1
19.583333;24;24;1;1;1
19.666667;24.2;24;1.008333333;1;1
19.750000;24;24;1;1;1
19.833333;24;24;1;1;1
19.916667;24;24;1;1;1
20.000000;24;24;1;1;1
20.083333;24;24;1;1;1
20.166667;24;24;1;1;1
20.250000;24;24;1;1;1
20.333333;24;24;1;1;1
20.416667;24;24;1;1;1
20.500000;24;24;1;1;1
20.583333;24;24;1;1;1
20.666667;24;24;1;1;1
20.750000;24;24;1;1;1
20.833333;24;24;1;1;1
20.916667;24;24;1;1;1
21.000000;24.1;24;1.004166667;1;1
21.083333;24;24;1;1;1
21.166667;24;24;1;1;1
21.250000;24;24;1;1;1
21.333333;24;24;1;1;1
21.416667;24;24;1;1;1
21.500000;24;24;1;1;1
21.583333;24;24;1;1;1
21.666667;24;24;1;1;1
21.750000;24;24;1;1;1
21.833333;24;24;1;1;1
21.916667;24;24;1;1;1
22.000000;24;24;1;1;1
22.083333;24;24;1;1;1
22.166667;24;24;1;1;1
22.250000;24;24;1;1;1
22.333333;24;24;1;1;1
22.416667;24;24;1;1;1
22.500000;24;24;1;1;1
22.583333;24;24;1;1;1
22.666667;24;24;1;1;1
22.750000;24;24;1;1;1
22.833333;24;24;1;1;1
22.916667;24;24;1;1;1
23.000000;24;24;1;1;1
