Average connectivity;Average absolute cost;Median absolute Cost;Average relative cost;Median relative cost;Percentage Hamiltonian
5.666667;217454347.4;2915280.5;9060597.808;121470.0208;0.888888889
5.750000;178261982.1;1310392.5;7427582.588;54599.6875;0.888888889
5.833333;381596330.7;12722417;15899847.11;530100.7083;0.923076923
5.916667;218216182.6;3571364;9092340.94;148806.8333;0.941176471
6.000000;158251883.2;897318.5;6593828.467;37388.27083;1
6.083333;148787964.7;454664;6199498.527;18944.33333;1
6.166667;65815837.4;50865.5;2742326.558;2119.395833;1
6.250000;72773500.35;106920;3032229.181;4455;1
6.333333;286757252.9;1954809.5;11948218.87;81450.39583;1
6.416667;98752654.45;135917;4114693.935;5663.208333;1
6.500000;158746983.8;76680.5;6614457.656;3195.020833;1
6.583333;162251319.2;75158;6760471.633;3131.583333;1
6.666667;169743557.8;82496;7072648.242;3437.333333;1
6.750000;50425247.8;30802.5;2101051.992;1283.4375;1
6.833333;3451727.25;9688;143821.9688;403.6666667;1
6.916667;51107347.55;28802.5;2129472.815;1200.104167;1
7.000000;65575648.5;51802;2732318.688;2158.416667;1
7.083333;40480039.3;10629.5;1686668.304;442.8958333;1
7.166667;51888977.85;76406.5;2162040.744;3183.604167;1
7.250000;55340545.65;9512.5;2305856.069;396.3541667;1
7.333333;159571725.6;101489.5;6648821.9;4228.729167;1
7.416667;265198329;37919;11049930.37;1579.958333;1
7.500000;101502164.1;21379.5;4229256.838;890.8125;1
7.583333;155763952.9;94375.5;6490164.702;3932.3125;1
7.666667;164470511.7;45003.5;6852937.988;1875.145833;1
7.750000;10705246.05;33679.5;446051.9188;1403.3125;1
7.833333;126234082.2;314108;5259753.423;13087.83333;1
7.916667;1878690.55;20091;78278.77292;837.125;1
8.000000;127866206.2;111907.5;5327758.59;4662.8125;1
8.083333;69412931.4;13127;2892205.475;546.9583333;1
8.166667;50475608.75;5555;2103150.365;231.4583333;1
8.250000;23156166.25;17323;964840.2604;721.7916667;1
8.333333;41180436.45;22133;1715851.519;922.2083333;1
8.416667;1105931.05;11291;46080.46042;470.4583333;1
8.500000;279963.55;6603;11665.14792;275.125;1
8.583333;100362577.7;2567;4181774.069;106.9583333;1
8.666667;15913662.55;85842;663069.2729;3576.75;1
8.750000;4983763.9;12187;207656.8292;507.7916667;1
8.833333;50090103.65;15691.5;2087087.652;653.8125;1
8.916667;14478935.7;2066;603288.9875;86.08333333;1
9.000000;352804.55;1984.5;14700.18958;82.6875;1
9.083333;26377128.05;4426.5;1099047.002;184.4375;1
9.166667;19999.55;6359;833.3145833;264.9583333;1
9.250000;121080.05;1843.5;5045.002083;76.8125;1
9.333333;42464.65;3636.5;1769.360417;151.5208333;1
9.416667;1201159.05;4595.5;50048.29375;191.4791667;1
9.500000;12300827.9;7768.5;512534.4958;323.6875;1
9.583333;58111.45;2517;2421.310417;104.875;1
9.666667;269100.8;2472;11212.53333;103;1
9.750000;64562.9;6037.5;2690.120833;251.5625;1
9.833333;51720210.1;2193.5;2155008.754;91.39583333;1
9.916667;5967333.6;1754.5;248638.9;73.10416667;1
10.000000;15747.85;1413.5;656.1604167;58.89583333;1
10.083333;25475.35;808.5;1061.472917;33.6875;1
10.166667;170746.15;1928;7114.422917;80.33333333;1
10.250000;23078.55;905.5;961.60625;37.72916667;1
10.333333;13899.9;1500;579.1625;62.5;1
10.416667;29513.9;1745;1229.745833;72.70833333;1
10.500000;3989.85;1560;166.24375;65;1
10.583333;3381584.1;2761.5;140899.3375;115.0625;1
10.666667;1008356.9;708;42014.87083;29.5;1
10.750000;100824.6;1766.5;4201.025;73.60416667;1
10.833333;14911.65;970;621.31875;40.41666667;1
10.916667;8747.65;1329;364.4854167;55.375;1
11.000000;50603762.35;1854.5;2108490.098;77.27083333;1
11.083333;71022.15;1238;2959.25625;51.58333333;1
11.166667;13482654.2;2264;561777.2583;94.33333333;1
11.250000;9915.25;2734;413.1354167;113.9166667;1
11.333333;2617.5;471.5;109.0625;19.64583333;1
11.416667;108444.75;478.5;4518.53125;19.9375;1
11.500000;24916;577;1038.166667;24.04166667;1
11.583333;6678.45;633;278.26875;26.375;1
11.666667;4391.45;651;182.9770833;27.125;1
11.750000;2954.65;422;123.1104167;17.58333333;1
11.833333;1344.65;397;56.02708333;16.54166667;1
11.916667;423919.8;794.5;17663.325;33.10416667;1
12.000000;4013383.1;1298.5;167224.2958;54.10416667;1
12.083333;5007344.45;537.5;208639.3521;22.39583333;1
12.166667;8061.7;690;335.9041667;28.75;1
12.250000;1966.65;1097.5;81.94375;45.72916667;1
12.333333;4414835.55;346;183951.4813;14.41666667;1
12.416667;2255.75;682;93.98958333;28.41666667;1
12.500000;1845.15;375.5;76.88125;15.64583333;1
12.583333;753.2;206;31.38333333;8.583333333;1
12.666667;8792.35;246;366.3479167;10.25;1
12.750000;35597.3;223.5;1483.220833;9.3125;1
12.833333;10371.4;524;432.1416667;21.83333333;1
12.916667;1014.3;233;42.2625;9.708333333;1
13.000000;1985;275;82.70833333;11.45833333;1
13.083333;1137.1;228.5;47.37916667;9.520833333;1
13.166667;2902.55;164.5;120.9395833;6.854166667;1
13.250000;1132.05;210;47.16875;8.75;1
13.333333;552.2;175;23.00833333;7.291666667;1
13.416667;4610.35;380;192.0979167;15.83333333;1
13.500000;3800.25;260.5;158.34375;10.85416667;1
13.583333;3024;243;126;10.125;1
13.666667;553.3;252.5;23.05416667;10.52083333;1
13.750000;32111.9;1328.5;1337.995833;55.35416667;1
13.833333;1470;265.5;61.25;11.0625;1
13.916667;273.2;202.5;11.38333333;8.4375;1
14.000000;1009.25;305.5;42.05208333;12.72916667;1
14.083333;4394.6;538.5;183.1083333;22.4375;1
14.166667;212.9;146;8.870833333;6.083333333;1
14.250000;344.55;159.5;14.35625;6.645833333;1
14.333333;729.7;192;30.40416667;8;1
14.416667;442.65;138.5;18.44375;5.770833333;1
14.500000;281.4;194.5;11.725;8.104166667;1
14.583333;2366.85;280.5;98.61875;11.6875;1
14.666667;576.25;100.5;24.01041667;4.1875;1
14.750000;463.15;377.5;19.29791667;15.72916667;1
14.833333;816.4;251;34.01666667;10.45833333;1
14.916667;232.25;162.5;9.677083333;6.770833333;1
15.000000;494.7;137.5;20.6125;5.729166667;1
15.083333;368.3;150;15.34583333;6.25;1
15.166667;172.4;102.5;7.183333333;4.270833333;1
15.250000;1281.45;132.5;53.39375;5.520833333;1
15.333333;213.15;145.5;8.88125;6.0625;1
15.416667;160.1;120.5;6.670833333;5.020833333;1
15.500000;206.8;165;8.616666667;6.875;1
15.583333;183.1;135;7.629166667;5.625;1
15.666667;274.55;149;11.43958333;6.208333333;1
15.750000;255.1;157;10.62916667;6.541666667;1
15.833333;359.25;97;14.96875;4.041666667;1
15.916667;403.85;106.5;16.82708333;4.4375;1
16.000000;223.25;69;9.302083333;2.875;1
16.083333;223.95;70.5;9.33125;2.9375;1
16.166667;108.4;62;4.516666667;2.583333333;1
16.250000;138.25;75.5;5.760416667;3.145833333;1
16.333333;175;76.5;7.291666667;3.1875;1
16.416667;374.2;78;15.59166667;3.25;1
16.500000;104.75;73.5;4.364583333;3.0625;1
16.583333;254.2;112;10.59166667;4.666666667;1
16.666667;781.05;92.5;32.54375;3.854166667;1
16.750000;140.15;82.5;5.839583333;3.4375;1
16.833333;6881.65;71.5;286.7354167;2.979166667;1
16.916667;309.25;96.5;12.88541667;4.020833333;1
17.000000;112;66.5;4.666666667;2.770833333;1
17.083333;165.9;72.5;6.9125;3.020833333;1
17.166667;148.6;134.5;6.191666667;5.604166667;1
17.250000;246.55;66.5;10.27291667;2.770833333;1
17.333333;117.6;60.5;4.9;2.520833333;1
17.416667;106.9;74;4.454166667;3.083333333;1
17.500000;105.55;77;4.397916667;3.208333333;1
17.583333;148.05;52.5;6.16875;2.1875;1
17.666667;139.05;63.5;5.79375;2.645833333;1
17.750000;106.8;69.5;4.45;2.895833333;1
17.833333;151.1;71.5;6.295833333;2.979166667;1
17.916667;77.4;45.5;3.225;1.895833333;1
18.000000;67.2;47;2.8;1.958333333;1
18.083333;137.75;57;5.739583333;2.375;1
18.166667;131.1;100.5;5.4625;4.1875;1
18.250000;48.35;36.5;2.014583333;1.520833333;1
18.333333;58.75;49;2.447916667;2.041666667;1
18.416667;106.4;50;4.433333333;2.083333333;1
18.500000;105.95;68.5;4.414583333;2.854166667;1
18.583333;97.55;46.5;4.064583333;1.9375;1
18.666667;78.1;38.5;3.254166667;1.604166667;1
18.750000;65.7;49.5;2.7375;2.0625;1
18.833333;70.45;45.5;2.935416667;1.895833333;1
18.916667;93;49.5;3.875;2.0625;1
19.000000;55.7;52.5;2.320833333;2.1875;1
19.083333;69.65;50.5;2.902083333;2.104166667;1
19.166667;53.5;50;2.229166667;2.083333333;1
19.250000;73.3;47.5;3.054166667;1.979166667;1
19.333333;63.7;50;2.654166667;2.083333333;1
19.416667;40.5;34;1.6875;1.416666667;1
19.500000;49.4;34;2.058333333;1.416666667;1
19.583333;57.6;37.5;2.4;1.5625;1
19.666667;127.7;35.5;5.320833333;1.479166667;1
19.750000;59.15;36;2.464583333;1.5;1
19.833333;68.5;36;2.854166667;1.5;1
19.916667;47.25;34;1.96875;1.416666667;1
20.000000;45.05;35.5;1.877083333;1.479166667;1
20.083333;42.75;35.5;1.78125;1.479166667;1
20.166667;41.05;34.5;1.710416667;1.4375;1
20.250000;40.55;35.5;1.689583333;1.479166667;1
20.333333;44.75;35.5;1.864583333;1.479166667;1
20.416667;49.35;32;2.05625;1.333333333;1
20.500000;40.3;30;1.679166667;1.25;1
20.583333;43.3;33.5;1.804166667;1.395833333;1
20.666667;41.1;34;1.7125;1.416666667;1
20.750000;47.35;41;1.972916667;1.708333333;1
20.833333;36.25;29;1.510416667;1.208333333;1
20.916667;48.2;37.5;2.008333333;1.5625;1
21.000000;38.45;33;1.602083333;1.375;1
21.083333;35.15;35;1.464583333;1.458333333;1
21.166667;34.1;32;1.420833333;1.333333333;1
21.250000;36.15;32;1.50625;1.333333333;1
21.333333;33.95;32.5;1.414583333;1.354166667;1
21.416667;42.85;28;1.785416667;1.166666667;1
21.500000;37.35;32;1.55625;1.333333333;1
21.583333;32.35;29;1.347916667;1.208333333;1
21.666667;34.45;30;1.435416667;1.25;1
21.750000;30.75;30;1.28125;1.25;1
21.833333;32.2;32.5;1.341666667;1.354166667;1
21.916667;31.1;29;1.295833333;1.208333333;1
22.000000;30.75;28;1.28125;1.166666667;1
22.083333;53.65;32.5;2.235416667;1.354166667;1
22.166667;29.5;28;1.229166667;1.166666667;1
22.250000;28.8;27.5;1.2;1.145833333;1
22.333333;28.4;27;1.183333333;1.125;1
22.416667;28.45;27;1.185416667;1.125;1
22.500000;29.6;29.5;1.233333333;1.229166667;1
22.583333;27.05;24;1.127083333;1;1
22.666667;27.5;27;1.145833333;1.125;1
22.750000;27.65;27;1.152083333;1.125;1
22.833333;25.8;24;1.075;1;1
22.916667;27;27;1.125;1.125;1
23.000000;24;24;1;1;1
