Average connectivity;Average absolute cost;Median absolute Cost;Average relative cost;Median relative cost;Percentage Hamiltonian
0.083333;2;2;0.083333333;0.083333333;0
0.166667;2.15;2;0.089583333;0.083333333;0
0.250000;2.75;3;0.114583333;0.125;0
0.333333;2.7;3;0.1125;0.125;0
0.416667;3.2;3;0.133333333;0.125;0
0.500000;3.8;3.5;0.158333333;0.145833333;0
0.583333;4.35;4;0.18125;0.166666667;0
0.666667;4.75;4.5;0.197916667;0.1875;0
0.750000;5.3;5;0.220833333;0.208333333;0
0.833333;6.1;6;0.254166667;0.25;0
0.916667;7.8;6.5;0.325;0.270833333;0
1.000000;7.65;6.5;0.31875;0.270833333;0
1.083333;10.25;10;0.427083333;0.416666667;0
1.166667;11;10;0.458333333;0.416666667;0
1.250000;13.25;13.5;0.552083333;0.5625;0
1.333333;16.9;14.5;0.704166667;0.604166667;0
1.416667;21.25;22;0.885416667;0.916666667;0
1.500000;22.75;20;0.947916667;0.833333333;0
1.583333;33.05;25;1.377083333;1.041666667;0
1.666667;47.1;38.5;1.9625;1.604166667;0
1.750000;48.15;44.5;2.00625;1.854166667;0
1.833333;68.15;57.5;2.839583333;2.395833333;0
1.916667;96.45;75;4.01875;3.125;0
2.000000;172.9;146;7.204166667;6.083333333;0
2.083333;208.65;187;8.69375;7.791666667;0
2.166667;355;268;14.79166667;11.16666667;0
2.250000;364.05;331;15.16875;13.79166667;0
2.333333;454.2;330.5;18.925;13.77083333;0
2.416667;691.05;613.5;28.79375;25.5625;0
2.500000;1280.1;1089;53.3375;45.375;0
2.583333;1333.35;1132;55.55625;47.16666667;0
2.666667;2167.55;1912.5;90.31458333;79.6875;0
2.750000;3975.5;3353;165.6458333;139.7083333;0
2.833333;5249.75;5342.5;218.7395833;222.6041667;0
2.916667;8227.05;7350;342.79375;306.25;0
3.000000;12494.95;10689;520.6229167;445.375;0
3.083333;17006;18546.5;708.5833333;772.7708333;0
3.166667;22568.75;21735;940.3645833;905.625;0
3.250000;37819.55;30668.5;1575.814583;1277.854167;0
3.333333;61120.4;55200.5;2546.683333;2300.020833;0
3.416667;83535.25;77422.5;3480.635417;3225.9375;0
3.500000;139454.25;130071.5;5810.59375;5419.645833;0
3.583333;176719.95;161292;7363.33125;6720.5;0.1
3.666667;263602;243912.5;10983.41667;10163.02083;0
3.750000;448341.45;435644.5;18680.89375;18151.85417;0
3.833333;552133.65;527985;23005.56875;21999.375;0.1
3.916667;1107913.9;1027568.5;46163.07917;42815.35417;0.05
4.000000;1264152.8;1134189.5;52673.03333;47257.89583;0.05
4.083333;1545225.4;1471293.5;64384.39167;61303.89583;0.3
4.166667;1833934.5;1883601;76413.9375;78483.375;0.25
4.250000;3233301.4;2762970;134720.8917;115123.75;0.15
4.333333;3845873.95;3234223;160244.7479;134759.2917;0.25
4.416667;4437344.45;5016176;184889.3521;209007.3333;0.45
4.500000;4910748.3;4743317.5;204614.5125;197638.2292;0.5
4.583333;11097177.2;8840895;462382.3833;368370.625;0.35
4.666667;18243531.8;14546172.5;760147.1583;606090.5208;0.2
4.750000;16073212.7;11511701;669717.1958;479654.2083;0.45
4.833333;23988251.15;2125847.5;999510.4646;88576.97917;0.6
4.916667;22482216.25;1789279;936759.0104;74553.29167;0.65
5.000000;37426826.45;4578936.5;1559451.102;190789.0208;0.65
5.083333;45056616;6779363.5;1877359;282473.4792;0.55
5.166667;59949766.9;3027698;2497906.954;126154.0833;0.65
5.250000;28234063.1;1776318;1176419.296;74013.25;0.85
5.333333;95535668.65;965205.5;3980652.86;40216.89583;0.75
5.416667;104238784;1023176.5;4343282.667;42632.35417;0.75
5.500000;165340475.1;1768475;6889186.463;73686.45833;0.736842105
5.583333;87994399.55;210332;3666433.315;8763.833333;0.85
