Average connectivity;Average absolute cost;Median absolute Cost;Average relative cost;Median relative cost;Percentage Hamiltonian
0.125;0;0;0;0;0
0.25;0;0;0;0;0
0.375;0;0;0;0;0
0.5;0;0;0;0;0
0.625;0;0;0;0;0
0.75;0;0;0;0;0
0.875;0;0;0;0;0
1;0;0;0;0;0
1.125;0;0;0;0;0
1.25;0;0;0;0;0
1.375;0;0;0;0;0
1.5;0;0;0;0;0
1.625;0;0;0;0;0
1.75;0;0;0;0;0
1.875;0;0;0;0;0
2;0;0;0;0;0
2.125;0;0;0;0;0
2.25;0;0;0;0;0
2.375;0;0;0;0;0
2.5;0;0;0;0;0
2.625;0;0;0;0;0
2.75;0;0;0;0;0
2.875;0;0;0;0;0
3;0;0;0;0;0
3.125;19.05;0;1.190625;0;0.05
3.25;5.5;0;0.34375;0;0
3.375;166.45;0;10.403125;0;0.05
3.5;8.65;0;0.540625;0;0.15
3.625;104.2;0;6.5125;0;0.1
3.75;16.15;0;1.009375;0;0
3.875;162.9;0;10.18125;0;0.2
4;42.1;0;2.63125;0;0.3
4.125;23.55;0;1.471875;0;0.3
4.25;812.2;0;50.7625;0;0.3
4.375;12.35;0;0.771875;0;0.4
4.5;24.75;16;1.546875;1;0.8
4.625;423.7;17;26.48125;1.0625;0.55
4.75;24.15;16;1.509375;1;0.75
4.875;15.85;16;0.990625;1;0.85
5;13.7;16;0.85625;1;0.75
5.125;15.7;16;0.98125;1;0.75
5.25;25.7;17;1.60625;1.0625;0.85
5.375;16.1;18;1.00625;1.125;0.9
5.5;16.1;16;1.00625;1;0.85
5.625;557.25;16;34.828125;1;0.9
5.75;21.8;17;1.3625;1.0625;1
5.875;19;16;1.1875;1;1
6;18.75;18;1.171875;1.125;0.95
6.125;15.75;16;0.984375;1;0.9
6.25;22.25;16;1.390625;1;0.9
6.375;16.8;17;1.05;1.0625;0.9
6.5;17.95;16;1.121875;1;1
6.625;18.05;16;1.128125;1;1
6.75;16.8;16;1.05;1;1
6.875;16.45;16;1.028125;1;1
7;17.15;16;1.071875;1;1
7.125;17.05;16;1.065625;1;1
7.25;16.9;16;1.05625;1;1
7.375;16.7;16;1.04375;1;1
7.5;16.9;16;1.05625;1;1
7.625;16.2;16;1.0125;1;1
7.75;17.95;16;1.121875;1;1
7.875;16.85;16;1.053125;1;1
8;16.25;16;1.015625;1;0.95
8.125;16.1;16;1.00625;1;1
8.25;17.05;16;1.065625;1;1
8.375;16.8;16;1.05;1;1
8.5;16.5;16;1.03125;1;1
8.625;16.25;16;1.015625;1;1
8.75;16.3;16;1.01875;1;1
8.875;16.2;16;1.0125;1;1
9;16.6;16;1.0375;1;1
9.125;16.2;16;1.0125;1;1
9.25;16.5;16;1.03125;1;1
9.375;16.3;16;1.01875;1;1
9.5;16.45;16;1.028125;1;1
9.625;16.7;16;1.04375;1;1
9.75;16.2;16;1.0125;1;1
9.875;16.2;16;1.0125;1;1
10;16.3;16;1.01875;1;1
10.125;16.35;16;1.021875;1;1
10.25;16.2;16;1.0125;1;1
10.375;16.55;16;1.034375;1;1
10.5;16.2;16;1.0125;1;1
10.625;16.3;16;1.01875;1;1
10.75;16.2;16;1.0125;1;1
10.875;16.4;16;1.025;1;1
11;16.2;16;1.0125;1;1
11.125;16.4;16;1.025;1;1
11.25;16.45;16;1.028125;1;1
11.375;16;16;1;1;1
11.5;16.1;16;1.00625;1;1
11.625;16;16;1;1;1
11.75;16.1;16;1.00625;1;1
11.875;16;16;1;1;1
12;16;16;1;1;1
12.125;16.3;16;1.01875;1;1
12.25;16.2;16;1.0125;1;1
12.375;16.2;16;1.0125;1;1
12.5;16.1;16;1.00625;1;1
12.625;16.1;16;1.00625;1;1
12.75;16;16;1;1;1
12.875;16;16;1;1;1
13;16.1;16;1.00625;1;1
13.125;16;16;1;1;1
13.25;16;16;1;1;1
13.375;16;16;1;1;1
13.5;16;16;1;1;1
13.625;16;16;1;1;1
13.75;16;16;1;1;1
13.875;16;16;1;1;1
14;16;16;1;1;1
14.125;16;16;1;1;1
14.25;16;16;1;1;1
14.375;16;16;1;1;1
14.5;16;16;1;1;1
14.625;16;16;1;1;1
14.75;16;16;1;1;1
14.875;16;16;1;1;1
15;16;16;1;1;1
